Formula	Result	ResultType	ResultMatchRule	Priority:Int	CourseName
56－2×6= 	44	Int	^[0-9]+$	1	数学
63÷(36－29)= 	9	Int	^[0-9]+$	1	数学
( )×6=30 	5	Int	^[0-9]+$	1	数学
32÷8= 	4	Int	^[0-9]+$	1	数学
85－69= 	16	Int	^[0-9]+$	1	数学
35÷5= 	7	Int	^[0-9]+$	1	数学
90－20+5= 	75	Int	^[0-9]+$	1	数学
45+5= 	50	Int	^[0-9]+$	1	数学
24÷4= 	6	Int	^[0-9]+$	1	数学
36÷9= 	4	Int	^[0-9]+$	1	数学
30÷6= 	5	Int	^[0-9]+$	1	数学
24÷8= 	3	Int	^[0-9]+$	1	数学
7×6= 	42	Int	^[0-9]+$	1	数学
3×1= 	3	Int	^[0-9]+$	1	数学
6×6= 	36	Int	^[0-9]+$	1	数学
12÷3= 	4	Int	^[0-9]+$	1	数学
6÷2= 	3	Int	^[0-9]+$	1	数学
80－46= 	34	Int	^[0-9]+$	1	数学
28÷7= 	4	Int	^[0-9]+$	1	数学
4×3= 	12	Int	^[0-9]+$	1	数学
15÷3= 	5	Int	^[0-9]+$	1	数学
42÷7= 	6	Int	^[0-9]+$	1	数学
6×5= 	30	Int	^[0-9]+$	1	数学
20÷5= 	4	Int	^[0-9]+$	1	数学
36＋4=	40	Int	^[0-9]+$	1	数学
55－20= 	35	Int	^[0-9]+$	1	数学
73＋16= 	89	Int	^[0-9]+$	1	数学
53+8= 	61	Int	^[0-9]+$	1	数学
43－30= 	13	Int	^[0-9]+$	1	数学
27－3= 	24	Int	^[0-9]+$	1	数学
8÷4+48= 	50	Int	^[0-9]+$	1	数学
46－8= 	38	Int	^[0-9]+$	1	数学
53+8= 	61	Int	^[0-9]+$	1	数学
43－30= 	13	Int	^[0-9]+$	1	数学
27－3= 	24	Int	^[0-9]+$	1	数学
8÷4+48= 	50	Int	^[0-9]+$	1	数学
3×8÷4= 	6	Int	^[0-9]+$	1	数学
14+21= 	35	Int	^[0-9]+$	1	数学
21+17= 	38	Int	^[0-9]+$	1	数学
33－1= 	32	Int	^[0-9]+$	1	数学
1+13= 	14	Int	^[0-9]+$	1	数学
26+24= 	50	Int	^[0-9]+$	1	数学
27－9= 	18	Int	^[0-9]+$	1	数学
23+6= 	29	Int	^[0-9]+$	1	数学
9+28= 	37	Int	^[0-9]+$	1	数学
40+9= 	49	Int	^[0-9]+$	1	数学
9×4=	36	Int	^[0-9]+$	1	数学
9×9= 	81	Int	^[0-9]+$	1	数学
170＋20= 	190	Int	^[0-9]+$	1	数学
35÷5= 	7	Int	^[0-9]+$	1	数学
59＋18= 	77	Int	^[0-9]+$	1	数学
36÷4= 	9	Int	^[0-9]+$	1	数学
72－40= 	32	Int	^[0-9]+$	1	数学
93－8= 	85	Int	^[0-9]+$	1	数学
46＋33= 	79	Int	^[0-9]+$	1	数学
35－6= 	29	Int	^[0-9]+$	1	数学
9×3= 	27	Int	^[0-9]+$	1	数学
16÷8= 	2	Int	^[0-9]+$	1	数学
12÷4+18= 	21	Int	^[0-9]+$	1	数学
7+1×8= 	15	Int	^[0-9]+$	1	数学
89－8= 	81	Int	^[0-9]+$	1	数学
9×7= 	63	Int	^[0-9]+$	1	数学
35－8= 	27	Int	^[0-9]+$	1	数学
65＋40= 	105	Int	^[0-9]+$	1	数学
7×7= 	49	Int	^[0-9]+$	1	数学
27÷9= 	3	Int	^[0-9]+$	1	数学
7÷1= 	7	Int	^[0-9]+$	1	数学
32÷4= 	8	Int	^[0-9]+$	1	数学
40÷8=	5	Int	^[0-9]+$	1	数学
35÷7= 	5	Int	^[0-9]+$	1	数学
72÷9= 	8	Int	^[0-9]+$	1	数学
42÷6= 	7	Int	^[0-9]+$	1	数学
27÷9= 	3	Int	^[0-9]+$	1	数学
8×4= 	32	Int	^[0-9]+$	1	数学
(7+23)÷6= 	5	Int	^[0-9]+$	1	数学
24–( )=12 	12	Int	^[0-9]+$	1	数学
90－45= 	45	Int	^[0-9]+$	1	数学
34－18= 	16	Int	^[0-9]+$	1	数学
40÷5= 	8	Int	^[0-9]+$	1	数学
85－37= 	48	Int	^[0-9]+$	1	数学
30÷5= 	6	Int	^[0-9]+$	1	数学
32÷4= 	8	Int	^[0-9]+$	1	数学
64÷8= 	8	Int	^[0-9]+$	1	数学
21－7= 	14	Int	^[0-9]+$	1	数学
9÷9= 	1	Int	^[0-9]+$	1	数学
5×6= 	30	Int	^[0-9]+$	1	数学
21÷3= 	7	Int	^[0-9]+$	1	数学
900+3= 	903	Int	^[0-9]+$	1	数学
450÷9= 	50	Int	^[0-9]+$	1	数学
5×5＋4= 	29	Int	^[0-9]+$	1	数学
30－6×4=	6	Int	^[0-9]+$	1	数学
93－7= 	86	Int	^[0-9]+$	1	数学
43－16= 	27	Int	^[0-9]+$	1	数学
8×7－34= 	22	Int	^[0-9]+$	1	数学
7×0＋31＝ 	31	Int	^[0-9]+$	1	数学
( )×8=48 	6	Int	^[0-9]+$	1	数学
9×3= 	27	Int	^[0-9]+$	1	数学
43+19= 	62	Int	^[0-9]+$	1	数学
94－49= 	45	Int	^[0-9]+$	1	数学
42+13= 	55	Int	^[0-9]+$	1	数学
100－61+12= 	51	Int	^[0-9]+$	1	数学
1÷1= 	1	Int	^[0-9]+$	1	数学
15÷5= 	3	Int	^[0-9]+$	1	数学
3×6÷6= 	3	Int	^[0-9]+$	1	数学
49÷7= 	7	Int	^[0-9]+$	1	数学
36÷4= 	9	Int	^[0-9]+$	1	数学
12÷2= 	6	Int	^[0-9]+$	1	数学
9×6= 	54	Int	^[0-9]+$	1	数学
63÷9×4= 	28	Int	^[0-9]+$	1	数学
5×9= 	45	Int	^[0-9]+$	1	数学
49÷7= 	7	Int	^[0-9]+$	1	数学
10÷5= 	2	Int	^[0-9]+$	1	数学
5×4=	20	Int	^[0-9]+$	1	数学
18÷2= 	9	Int	^[0-9]+$	1	数学
10÷5= 	2	Int	^[0-9]+$	1	数学
30÷5= 	6	Int	^[0-9]+$	1	数学
4×1= 	4	Int	^[0-9]+$	1	数学
30÷5= 	6	Int	^[0-9]+$	1	数学
12÷6= 	2	Int	^[0-9]+$	1	数学
9＋46= 	55	Int	^[0-9]+$	1	数学
60＋300= 	360	Int	^[0-9]+$	1	数学
4×9= 	36	Int	^[0-9]+$	1	数学
9÷1= 	9	Int	^[0-9]+$	1	数学
42+13= 	55	Int	^[0-9]+$	1	数学
25÷5+36= 	41	Int	^[0-9]+$	1	数学
8×5－7= 	33	Int	^[0-9]+$	1	数学
4×9= 	36	Int	^[0-9]+$	1	数学
9÷1= 	9	Int	^[0-9]+$	1	数学
42+13= 	55	Int	^[0-9]+$	1	数学
25÷5+36= 	41	Int	^[0-9]+$	1	数学
7×6+10= 	52	Int	^[0-9]+$	1	数学
30+20= 	50	Int	^[0-9]+$	1	数学
16+34= 	50	Int	^[0-9]+$	1	数学
21+9= 	30	Int	^[0-9]+$	1	数学
13+24=	37	Int	^[0-9]+$	1	数学
8+23= 	31	Int	^[0-9]+$	1	数学
22+16= 	38	Int	^[0-9]+$	1	数学
24+26= 	50	Int	^[0-9]+$	1	数学
22+18= 	40	Int	^[0-9]+$	1	数学
36÷6= 	6	Int	^[0-9]+$	1	数学
43＋32= 	75	Int	^[0-9]+$	1	数学
46＋10= 	56	Int	^[0-9]+$	1	数学
5×9= 	45	Int	^[0-9]+$	1	数学
27＋25= 	52	Int	^[0-9]+$	1	数学
72＋24= 	96	Int	^[0-9]+$	1	数学
18÷2= 	9	Int	^[0-9]+$	1	数学
47＋8= 	55	Int	^[0-9]+$	1	数学
49÷7= 	7	Int	^[0-9]+$	1	数学
40÷8= 	5	Int	^[0-9]+$	1	数学
苹果	apple	String	^[a-zA-Z\s\-]+$	1	英语
家庭	family	String	^[a-zA-Z\s\-]+$	1	英语
爷爷	grandpa	String	^[a-zA-Z\s\-]+$	1	英语
奶奶	grandma	String	^[a-zA-Z\s\-]+$	1	英语
爸爸	dad	String	^[a-zA-Z\s\-]+$	1	英语
妈妈	mom	String	^[a-zA-Z\s\-]+$	1	英语
姐妹	sister	String	^[a-zA-Z\s\-]+$	1	英语
兄弟	brother	String	^[a-zA-Z\s\-]+$	1	英语
我（宾格）	me	String	^[a-zA-Z\s\-]+$	1	英语
警察	policeman	String	^[a-zA-Z\s\-]+$	1	英语
医生	doctor	String	^[a-zA-Z\s\-]+$	1	英语
老师	teacher	String	^[a-zA-Z\s\-]+$	1	英语
工程师	engineer	String	^[a-zA-Z\s\-]+$	1	英语
同学	classmate	String	^[a-zA-Z\s\-]+$	1	英语
朋友	friend	String	^[a-zA-Z\s\-]+$	1	英语
大的	big	String	^[a-zA-Z\s\-]+$	1	英语
瘦的	thin	String	^[a-zA-Z\s\-]+$	1	英语
漂亮的	pretty	String	^[a-zA-Z\s\-]+$	1	英语
丑的	ugly	String	^[a-zA-Z\s\-]+$	1	英语
高的	tall	String	^[a-zA-Z\s\-]+$	1	英语
矮的	short	String	^[a-zA-Z\s\-]+$	1	英语
从……来	from	String	^[a-zA-Z\s\-]+$	1	英语
中国	China	String	^[a-zA-Z\s\-]+$	1	英语
加拿大	Canada	String	^[a-zA-Z\s\-]+$	1	英语
英国	Britain	String	^[a-zA-Z\s\-]+$	1	英语
公园	park	String	^[a-zA-Z\s\-]+$	1	英语
小山	hill	String	^[a-zA-Z\s\-]+$	1	英语
湖	lake	String	^[a-zA-Z\s\-]+$	1	英语
桥	bridge	String	^[a-zA-Z\s\-]+$	1	英语
树	tree	String	^[a-zA-Z\s\-]+$	1	英语
草	grass	String	^[a-zA-Z\s\-]+$	1	英语
花	flower	String	^[a-zA-Z\s\-]+$	1	英语
蜜蜂	bee	String	^[a-zA-Z\s\-]+$	1	英语
蝴蝶	butterfly	String	^[a-zA-Z\s\-]+$	1	英语
长凳	bench	String	^[a-zA-Z\s\-]+$	1	英语
图画、照片	picture	String	^[a-zA-Z\s\-]+$	1	英语
美丽的	beautiful	String	^[a-zA-Z\s\-]+$	1	英语
姑姑	aunt	String	^[a-zA-Z\s\-]+$	1	英语
叔叔	uncle	String	^[a-zA-Z\s\-]+$	1	英语
街道	street	String	^[a-zA-Z\s\-]+$	1	英语
客货车	van	String	^[a-zA-Z\s\-]+$	1	英语
出租车	taxi	String	^[a-zA-Z\s\-]+$	1	英语
自行车	bicycle	String	^[a-zA-Z\s\-]+$	1	英语
地铁	subway	String	^[a-zA-Z\s\-]+$	1	英语
地铁站	subway station	String	^[a-zA-Z\s\-]+$	1	英语
交通信号灯	traffic light	String	^[a-zA-Z\s\-]+$	1	英语
公交车站	bus stop	String	^[a-zA-Z\s\-]+$	1	英语
超级市场	supermarket	String	^[a-zA-Z\s\-]+$	1	英语
书店	book store	String	^[a-zA-Z\s\-]+$	1	英语
学校	school	String	^[a-zA-Z\s\-]+$	1	英语
医院	hospital	String	^[a-zA-Z\s\-]+$	1	英语
动物园	zoo	String	^[a-zA-Z\s\-]+$	1	英语
停下来	stop	String	^[a-zA-Z\s\-]+$	1	英语
等候	wait	String	^[a-zA-Z\s\-]+$	1	英语
走	go	String	^[a-zA-Z\s\-]+$	1	英语
北京	Beijjig	String	^[a-zA-Z\s\-]+$	1	英语
天安门广场	Tiananmen Square	String	^[a-zA-Z\s\-]+$	1	英语
长城	the Great Wall	String	^[a-zA-Z\s\-]+$	1	英语
颐和园	the Summer Palace	String	^[a-zA-Z\s\-]+$	1	英语
紫禁城	the Forbidden City	String	^[a-zA-Z\s\-]+$	1	英语
天坛	Temple of Heaven	String	^[a-zA-Z\s\-]+$	1	英语
北海公园	Beihai Park	String	^[a-zA-Z\s\-]+$	1	英语
北京动物园	Beijing Zoo	String	^[a-zA-Z\s\-]+$	1	英语
北京烤鸭	Beijing Duck	String	^[a-zA-Z\s\-]+$	1	英语
京剧	Beijing Opera	String	^[a-zA-Z\s\-]+$	1	英语
庙会	Temple Fair	String	^[a-zA-Z\s\-]+$	1	英语
伟大的的；大的	great	String	^[a-zA-Z\s\-]+$	1	英语
节日	Festival	String	^[a-zA-Z\s\-]+$	1	英语
愉快的	merry	String	^[a-zA-Z\s\-]+$	1	英语
圣诞节	Christmas	String	^[a-zA-Z\s\-]+$	1	英语
圣诞树	Christmas tree	String	^[a-zA-Z\s\-]+$	1	英语
圣诞老人	Santa Claus	String	^[a-zA-Z\s\-]+$	1	英语
铃	bell	String	^[a-zA-Z\s\-]+$	1	英语
礼物	present	String	^[a-zA-Z\s\-]+$	1	英语
明信片	card	String	^[a-zA-Z\s\-]+$	1	英语
长袜	stocking	String	^[a-zA-Z\s\-]+$	1	英语
快乐的	happy	String	^[a-zA-Z\s\-]+$	1	英语
春节	Spring Festival	String	^[a-zA-Z\s\-]+$	1	英语
舞龙	dragon dance	String	^[a-zA-Z\s\-]+$	1	英语
剪纸	paper-cut	String	^[a-zA-Z\s\-]+$	1	英语
灯笼	lantern	String	^[a-zA-Z\s\-]+$	1	英语
香港	Hong Kong	String	^[a-zA-Z\s\-]+$	1	英语
多伦多	Toronto	String	^[a-zA-Z\s\-]+$	1	英语
悉尼	Sydney	String	^[a-zA-Z\s\-]+$	1	英语
鼠	rat	String	^[a-zA-Z\s\-]+$	1	英语
牛	ox	String	^[a-zA-Z\s\-]+$	1	英语
龙	dragon	String	^[a-zA-Z\s\-]+$	1	英语
蛇	snake	String	^[a-zA-Z\s\-]+$	1	英语
马	horse	String	^[a-zA-Z\s\-]+$	1	英语
羊	sheep	String	^[a-zA-Z\s\-]+$	1	英语
鸡	rooster	String	^[a-zA-Z\s\-]+$	1	英语
猪	pig	String	^[a-zA-Z\s\-]+$	1	英语
新年	New Year	String	^[a-zA-Z\s\-]+$	1	英语
沙发	sofa	String	^[a-zA-Z\s\-]+$	1	英语
季节	Season	String	^[a-zA-Z\s\-]+$	1	英语
春季	spring	String	^[a-zA-Z\s\-]+$	1	英语
夏季	summer	String	^[a-zA-Z\s\-]+$	1	英语
秋季	fall	String	^[a-zA-Z\s\-]+$	1	英语
冬季	winter	String	^[a-zA-Z\s\-]+$	1	英语
明亮的	bright	String	^[a-zA-Z\s\-]+$	1	英语
金色的	golden	String	^[a-zA-Z\s\-]+$	1	英语
种植	plant	String	^[a-zA-Z\s\-]+$	1	英语
游泳	swim	String	^[a-zA-Z\s\-]+$	1	英语
攀登；爬	climb	String	^[a-zA-Z\s\-]+$	1	英语
制造	make	String	^[a-zA-Z\s\-]+$	1	英语
雪人	snowman	String	^[a-zA-Z\s\-]+$	1	英语
放（风筝）	fly	String	^[a-zA-Z\s\-]+$	1	英语
风筝	kite	String	^[a-zA-Z\s\-]+$	1	英语
睡觉	sleep	String	^[a-zA-Z\s\-]+$	1	英语
天气	weather	String	^[a-zA-Z\s\-]+$	1	英语
晴朗的	sunny	String	^[a-zA-Z\s\-]+$	1	英语
多云的	cloudy	String	^[a-zA-Z\s\-]+$	1	英语
下雨的	rainy	String	^[a-zA-Z\s\-]+$	1	英语
有风的	windy	String	^[a-zA-Z\s\-]+$	1	英语
有雪的	snowy	String	^[a-zA-Z\s\-]+$	1	英语
冷的	clod	String	^[a-zA-Z\s\-]+$	1	英语
凉爽的	cool	String	^[a-zA-Z\s\-]+$	1	英语
温暖的	warm	String	^[a-zA-Z\s\-]+$	1	英语
热的	hot	String	^[a-zA-Z\s\-]+$	1	英语
西安	Xi’an	String	^[a-zA-Z\s\-]+$	1	英语
哈尔滨	Harbin	String	^[a-zA-Z\s\-]+$	1	英语
深圳	Shenzhen	String	^[a-zA-Z\s\-]+$	1	英语
上海	Shanghai	String	^[a-zA-Z\s\-]+$	1	英语
天	day	String	^[a-zA-Z\s\-]+$	1	英语
围巾	scarf	String	^[a-zA-Z\s\-]+$	1	英语
太阳镜（复数）	sunglasses	String	^[a-zA-Z\s\-]+$	1	英语
外套；大衣	coat	String	^[a-zA-Z\s\-]+$	1	英语
像；如何（指天气）	like	String	^[a-zA-Z\s\-]+$	1	英语
今天	today	String	^[a-zA-Z\s\-]+$	1	英语
雨衣	raincoat	String	^[a-zA-Z\s\-]+$	1	英语
雨伞	umbrella	String	^[a-zA-Z\s\-]+$	1	英语
体育（课）	PE	String	^[a-zA-Z\s\-]+$	1	英语
课	class	String	^[a-zA-Z\s\-]+$	1	英语
能	can	String	^[a-zA-Z\s\-]+$	1	英语
投；掷	throw	String	^[a-zA-Z\s\-]+$	1	英语
跳跃	jump	String	^[a-zA-Z\s\-]+$	1	英语
接住（运动的物体）	catch	String	^[a-zA-Z\s\-]+$	1	英语
走	walk	String	^[a-zA-Z\s\-]+$	1	英语
跑	run	String	^[a-zA-Z\s\-]+$	1	英语
踢	kick	String	^[a-zA-Z\s\-]+$	1	英语
拍（球）	bounce	String	^[a-zA-Z\s\-]+$	1	英语
非常好	very well	String	^[a-zA-Z\s\-]+$	1	英语
玩（球）	play	String	^[a-zA-Z\s\-]+$	1	英语
乒乓球	pingpong	String	^[a-zA-Z\s\-]+$	1	英语
绳	rope	String	^[a-zA-Z\s\-]+$	1	英语
足球	football	String	^[a-zA-Z\s\-]+$	1	英语
秋千	swing	String	^[a-zA-Z\s\-]+$	1	英语
攀登架	jungle gym	String	^[a-zA-Z\s\-]+$	1	英语
跷跷板	seesaw	String	^[a-zA-Z\s\-]+$	1	英语
滑梯	slide	String	^[a-zA-Z\s\-]+$	1	英语
注意	attention	String	^[a-zA-Z\s\-]+$	1	英语
报数	count off	String	^[a-zA-Z\s\-]+$	1	英语
向左转	turn left	String	^[a-zA-Z\s\-]+$	1	英语
向右转	turn right	String	^[a-zA-Z\s\-]+$	1	英语
时间	time	String	^[a-zA-Z\s\-]+$	1	英语
中点	o’clock	String	^[a-zA-Z\s\-]+$	1	英语
早餐	breakfast	String	^[a-zA-Z\s\-]+$	1	英语
午餐	lunch	String	^[a-zA-Z\s\-]+$	1	英语
晚餐	supper	String	^[a-zA-Z\s\-]+$	1	英语
分钟	minute	String	^[a-zA-Z\s\-]+$	1	英语
加上	plus	String	^[a-zA-Z\s\-]+$	1	英语
一半	half	String	^[a-zA-Z\s\-]+$	1	英语
小时	hour	String	^[a-zA-Z\s\-]+$	1	英语
三十	thirty	String	^[a-zA-Z\s\-]+$	1	英语
四十	forty	String	^[a-zA-Z\s\-]+$	1	英语
五十	fifity	String	^[a-zA-Z\s\-]+$	1	英语
六十	sixty	String	^[a-zA-Z\s\-]+$	1	英语
秒	second	String	^[a-zA-Z\s\-]+$	1	英语
up	get	String	^[a-zA-Z\s\-]+$	1	英语
洗	wash	String	^[a-zA-Z\s\-]+$	1	英语
刷	brush	String	^[a-zA-Z\s\-]+$	1	英语
牙齿（复数）	teeth	String	^[a-zA-Z\s\-]+$	1	英语
看	watch	String	^[a-zA-Z\s\-]+$	1	英语
上床睡觉	go to bed	String	^[a-zA-Z\s\-]+$	1	英语
什么时候	when	String	^[a-zA-Z\s\-]+$	1	英语
每天	every day	String	^[a-zA-Z\s\-]+$	1	英语
星期	Week	String	^[a-zA-Z\s\-]+$	1	英语
星期一	Monday	String	^[a-zA-Z\s\-]+$	1	英语
星期二	Tuesday	String	^[a-zA-Z\s\-]+$	1	英语
星期三	Wednesday	String	^[a-zA-Z\s\-]+$	1	英语
星期四	Thursday	String	^[a-zA-Z\s\-]+$	1	英语
星期五	Friday	String	^[a-zA-Z\s\-]+$	1	英语
星期六	Saturday	String	^[a-zA-Z\s\-]+$	1	英语
星期日	Sunday	String	^[a-zA-Z\s\-]+$	1	英语
工作日	weekday	String	^[a-zA-Z\s\-]+$	1	英语
周末	weekend	String	^[a-zA-Z\s\-]+$	1	英语
想（做某事）	want	String	^[a-zA-Z\s\-]+$	1	英语
中文	Chinese	String	^[a-zA-Z\s\-]+$	1	英语
音乐	music	String	^[a-zA-Z\s\-]+$	1	英语
数学	math	String	^[a-zA-Z\s\-]+$	1	英语
美术	art	String	^[a-zA-Z\s\-]+$	1	英语
上午	am	String	^[a-zA-Z\s\-]+$	1	英语
下午	pm	String	^[a-zA-Z\s\-]+$	1	英语
年	year	String	^[a-zA-Z\s\-]+$	1	英语
月	month	String	^[a-zA-Z\s\-]+$	1	英语
书	book	String	^[a-zA-Z\s\-]+$	1	英语
尺子	ruler	String	^[a-zA-Z\s\-]+$	1	英语
铅笔	pencil	String	^[a-zA-Z\s\-]+$	1	英语
橡皮	eraser	String	^[a-zA-Z\s\-]+$	1	英语
铅笔盒	pencil case	String	^[a-zA-Z\s\-]+$	1	英语
书包	backpack	String	^[a-zA-Z\s\-]+$	1	英语
学校	school	String	^[a-zA-Z\s\-]+$	1	英语
眼睛	eye	String	^[a-zA-Z\s\-]+$	1	英语
手	hand	String	^[a-zA-Z\s\-]+$	1	英语
耳朵	ear	String	^[a-zA-Z\s\-]+$	1	英语
嘴	mouth	String	^[a-zA-Z\s\-]+$	1	英语
鼻子	nose	String	^[a-zA-Z\s\-]+$	1	英语
脚(单数)	foot	String	^[a-zA-Z\s\-]+$	1	英语
脚(复数)	feet	String	^[a-zA-Z\s\-]+$	1	英语
脸	face	String	^[a-zA-Z\s\-]+$	1	英语
腿	leg	String	^[a-zA-Z\s\-]+$	1	英语
手臂	arm	String	^[a-zA-Z\s\-]+$	1	英语
猫	cat	String	^[a-zA-Z\s\-]+$	1	英语
鸟	bird	String	^[a-zA-Z\s\-]+$	1	英语
兔	rabbit	String	^[a-zA-Z\s\-]+$	1	英语
狗	dog	String	^[a-zA-Z\s\-]+$	1	英语
鸡	chicken	String	^[a-zA-Z\s\-]+$	1	英语
鸭	duck	String	^[a-zA-Z\s\-]+$	1	英语
猴子	monkey	String	^[a-zA-Z\s\-]+$	1	英语
虎	tiger	String	^[a-zA-Z\s\-]+$	1	英语
熊猫	panda	String	^[a-zA-Z\s\-]+$	1	英语
大象	elephant	String	^[a-zA-Z\s\-]+$	1	英语
鱼	fish	String	^[a-zA-Z\s\-]+$	1	英语
一	one	String	^[a-zA-Z\s\-]+$	1	英语
二	two	String	^[a-zA-Z\s\-]+$	1	英语
三	three	String	^[a-zA-Z\s\-]+$	1	英语
四	four	String	^[a-zA-Z\s\-]+$	1	英语
五	five	String	^[a-zA-Z\s\-]+$	1	英语
六	six	String	^[a-zA-Z\s\-]+$	1	英语
七	seven	String	^[a-zA-Z\s\-]+$	1	英语
八	eight	String	^[a-zA-Z\s\-]+$	1	英语
九	nine	String	^[a-zA-Z\s\-]+$	1	英语
十	ten	String	^[a-zA-Z\s\-]+$	1	英语
红色(的)	red	String	^[a-zA-Z\s\-]+$	1	英语
黄色(的)	yellow	String	^[a-zA-Z\s\-]+$	1	英语
紫色(的)	purple	String	^[a-zA-Z\s\-]+$	1	英语
棕色(的)	brown	String	^[a-zA-Z\s\-]+$	1	英语
橙色(的)	orange	String	^[a-zA-Z\s\-]+$	1	英语
白色(的)	white	String	^[a-zA-Z\s\-]+$	1	英语
绿色(的)	green	String	^[a-zA-Z\s\-]+$	1	英语
粉红色(的)	pink	String	^[a-zA-Z\s\-]+$	1	英语
蓝色(的)	blue	String	^[a-zA-Z\s\-]+$	1	英语
黑色(的)	black	String	^[a-zA-Z\s\-]+$	1	英语
香蕉	banana	String	^[a-zA-Z\s\-]+$	1	英语
桃	peach	String	^[a-zA-Z\s\-]+$	1	英语
瓜	melon	String	^[a-zA-Z\s\-]+$	1	英语
梨	pear	String	^[a-zA-Z\s\-]+$	1	英语
橙子	orange	String	^[a-zA-Z\s\-]+$	1	英语
葡萄	grape	String	^[a-zA-Z\s\-]+$	1	英语
